playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour
lucas-wilchez,Lucas Wilchez,Real Zaragoza,Spain,31.08.1983,177.0,72.0,Attacking Midfielder,144.0,65.0,32.0,47.0,10.0,21.0,1.0,2.0,0.375
john-utaka,John Utaka,Montpellier HSC,France,08.01.1982,179.0,82.0,Right Winger,427.0,183.0,101.0,143.0,88.0,33.0,0.0,2.0,0.75
aaron-hughes,Aaron Hughes,Fulham FC,England,08.11.1979,182.0,71.0,Center Back,654.0,247.0,179.0,228.0,9.0,19.0,0.0,0.0,0.125
aleksandar-kolarov,Aleksandar Kolarov,Manchester City,England,10.11.1985,187.0,80.0,Left Fullback,285.0,138.0,57.0,90.0,28.0,50.0,4.0,3.0,0.125
alexander-tettey,Alexander Tettey,Norwich City,England,04.04.1986,180.0,68.0,Defensive Midfielder,214.0,88.0,54.0,72.0,11.0,34.0,0.0,0.0,1.0
anders-lindegaard,Anders Lindegaard,Manchester United,England,13.04.1984,193.0,80.0,Goalkeeper,100.0,50.0,20.0,30.0,0.0,1.0,0.0,0.0,0.25
andreas-beck,Andreas Beck,1899 Hoffenheim,Germany,13.03.1987,180.0,70.0,Right Fullback,296.0,125.0,72.0,99.0,7.0,57.0,1.0,0.0,0.0
antonio-rukavina,Antonio Rukavina,Real Valladolid,Spain,26.01.1984,177.0,74.0,Right Fullback,249.0,95.0,70.0,84.0,3.0,37.0,1.0,0.0,0.0
ashkan-dejagah,Ashkan Dejagah,Fulham FC,England,05.07.1986,181.0,74.0,Left Winger,320.0,130.0,71.0,119.0,56.0,55.0,1.0,4.0,0.5
benedikt-hoewedes,Benedikt Höwedes,FC Schalke 04,Germany,29.02.1988,187.0,80.0,Center Back,295.0,159.0,54.0,82.0,21.0,27.0,2.0,3.0,0.0
chris-baird,Chris Baird,Fulham FC,England,25.02.1982,186.0,77.0,Defensive Midfielder,340.0,119.0,95.0,126.0,7.0,55.0,2.0,1.0,0.0
daniel-schwaab,Daniel Schwaab,Bayer Leverkusen,Germany,23.08.1988,186.0,76.0,Right Fullback,284.0,141.0,69.0,74.0,7.0,40.0,0.0,1.0,0.0
dennis-aogo,Dennis Aogo,Hamburger SV,Germany,14.01.1987,184.0,85.0,Left Fullback,320.0,141.0,77.0,102.0,20.0,50.0,0.0,0.0,0.5
george-mccartney,George McCartney,West Ham United,England,29.04.1981,180.0,74.0,Left Fullback,410.0,157.0,96.0,157.0,2.0,64.0,1.0,1.0,0.0
gylfi-sigurdsson,Gylfi Sigurðsson,Tottenham Hotspur,England,08.09.1989,186.0,77.0,Attacking Midfielder,227.0,98.0,51.0,78.0,64.0,15.0,0.0,0.0,0.0
ivan-obradovic,Ivan Obradovi?,Real Zaragoza,Spain,25.07.1988,181.0,74.0,Left Fullback,89.0,38.0,17.0,34.0,2.0,17.0,0.0,0.0,0.125
jan-moravek,Jan Morávek,FC Augsburg,Germany,01.11.1989,180.0,75.0,Attacking Midfielder,113.0,52.0,19.0,42.0,10.0,22.0,0.0,0.0,0.125
jan-rosenthal,Jan Rosenthal,SC Freiburg,Germany,07.04.1986,186.0,76.0,Attacking Midfielder,205.0,82.0,47.0,76.0,29.0,18.0,1.0,0.0,0.0
jonny-evans,Jonny Evans,Manchester United,England,02.01.1988,188.0,77.0,Center Back,255.0,150.0,44.0,61.0,9.0,27.0,0.0,3.0,0.0
kyriakos-papadopoulos,Kyriakos Papadopoulos,FC Schalke 04,Germany,23.02.1992,183.0,85.0,Center Back,140.0,75.0,24.0,41.0,13.0,34.0,2.0,1.0,0.0
marko-marin,Marko Marin,Chelsea FC,England,13.03.1989,170.0,63.0,Attacking Midfielder,276.0,119.0,70.0,87.0,33.0,28.0,0.0,0.0,0.125
mats-hummels,Mats Hummels,Borussia Dortmund,Germany,16.12.1988,192.0,90.0,Center Back,319.0,181.0,74.0,64.0,32.0,36.0,0.0,1.0,0.25
mesut-oezil,Mesut Özil,Real Madrid,Spain,15.10.1988,183.0,76.0,Attacking Midfielder,418.0,260.0,82.0,76.0,76.0,28.0,0.0,3.0,0.125
milorad-pekovic,Milorad Pekovi?,SpVgg Greuther Fürth,Germany,05.08.1977,189.0,88.0,Defensive Midfielder,377.0,143.0,106.0,128.0,17.0,135.0,6.0,2.0,0.125
nemanja-vidic,Nemanja Vidi?,Manchester United,England,21.10.1981,188.0,82.0,Center Back,367.0,237.0,64.0,66.0,26.0,71.0,5.0,4.0,0.0
neven-subotic,Neven Suboti?,Borussia Dortmund,Germany,10.12.1988,193.0,88.0,Center Back,300.0,169.0,66.0,65.0,24.0,32.0,1.0,1.0,0.125
patrick-ebert,Patrick Ebert,Real Valladolid,Spain,17.03.1987,172.0,68.0,Left Midfielder,247.0,91.0,62.0,94.0,30.0,54.0,2.0,0.0,0.0
